table,description,code_2008,code_2012,code_2016,code_2020,col_name
American Indian and Alaska Native Alone,Male: 45 to 54 years,JVQE012,ABK3E012,AJ6QE012,AQYJE012,aian_male_45_to_54
American Indian and Alaska Native Alone,Male: 55 to 64 years,JVQE013,ABK3E013,AJ6QE013,AQYJE013,aian_male_55_to_64
American Indian and Alaska Native Alone,Male: 65 to 74 years,JVQE014,ABK3E014,AJ6QE014,AQYJE014,aian_male_65_to_74
American Indian and Alaska Native Alone,Male: 75 to 84 years,JVQE015,ABK3E015,AJ6QE015,AQYJE015,aian_male_75_to_84
American Indian and Alaska Native Alone,Male: 85 years and over,JVQE016,ABK3E016,AJ6QE016,AQYJE016,aian_male_85_plus
American Indian and Alaska Native Alone,Female,JVQE017,ABK3E017,AJ6QE017,AQYJE017,aian_female
American Indian and Alaska Native Alone,Female: Under 5 years,JVQE018,ABK3E018,AJ6QE018,AQYJE018,aian_female_under_5
American Indian and Alaska Native Alone,Female: 5 to 9 years,JVQE019,ABK3E019,AJ6QE019,AQYJE019,aian_female_5_to_9
American Indian and Alaska Native Alone,Female: 10 to 14 years,JVQE020,ABK3E020,AJ6QE020,AQYJE020,aian_female_10_to_14
American Indian and Alaska Native Alone,Female: 15 to 17 years,JVQE021,ABK3E021,AJ6QE021,AQYJE021,aian_female_15_to_17
American Indian and Alaska Native Alone,Female: 18 and 19 years,JVQE022,ABK3E022,AJ6QE022,AQYJE022,aian_female_18_and_19
American Indian and Alaska Native Alone,Female: 20 to 24 years,JVQE023,ABK3E023,AJ6QE023,AQYJE023,aian_female_20_to_24
American Indian and Alaska Native Alone,Female: 25 to 29 years,JVQE024,ABK3E024,AJ6QE024,AQYJE024,aian_female_25_to_29
American Indian and Alaska Native Alone,Female: 30 to 34 years,JVQE025,ABK3E025,AJ6QE025,AQYJE025,aian_female_30_to_34
American Indian and Alaska Native Alone,Female: 35 to 44 years,JVQE026,ABK3E026,AJ6QE026,AQYJE026,aian_female_35_to_44
American Indian and Alaska Native Alone,Female: 45 to 54 years,JVQE027,ABK3E027,AJ6QE027,AQYJE027,aian_female_45_to_54
American Indian and Alaska Native Alone,Female: 55 to 64 years,JVQE028,ABK3E028,AJ6QE028,AQYJE028,aian_female_55_to_64
American Indian and Alaska Native Alone,Female: 65 to 74 years,JVQE029,ABK3E029,AJ6QE029,AQYJE029,aian_female_65_to_74
American Indian and Alaska Native Alone,Female: 75 to 84 years,JVQE030,ABK3E030,AJ6QE030,AQYJE030,aian_female_75_to_84
American Indian and Alaska Native Alone,Female: 85 years and over,JVQE031,ABK3E031,AJ6QE031,AQYJE031,aian_female_85_plus
Asian Alone,Total,JVRE001,ABK4E001,AJ6RE001,AQYKE001,asian_total
Asian Alone,Male,JVRE002,ABK4E002,AJ6RE002,AQYKE002,asian_male
Asian Alone,Male: Under 5 years,JVRE003,ABK4E003,AJ6RE003,AQYKE003,asian_male_under_5
Asian Alone,Male: 5 to 9 years,JVRE004,ABK4E004,AJ6RE004,AQYKE004,asian_male_5_to_9
Asian Alone,Male: 10 to 14 years,JVRE005,ABK4E005,AJ6RE005,AQYKE005,asian_male_10_to_14
Asian Alone,Male: 15 to 17 years,JVRE006,ABK4E006,AJ6RE006,AQYKE006,asian_male_15_to_17
Asian Alone,Male: 18 and 19 years,JVRE007,ABK4E007,AJ6RE007,AQYKE007,asian_male_18_and_19
Asian Alone,Male: 20 to 24 years,JVRE008,ABK4E008,AJ6RE008,AQYKE008,asian_male_20_to_24
Asian Alone,Male: 25 to 29 years,JVRE009,ABK4E009,AJ6RE009,AQYKE009,asian_male_25_to_29
Asian Alone,Male: 30 to 34 years,JVRE010,ABK4E010,AJ6RE010,AQYKE010,asian_male_30_to_34
Asian Alone,Male: 35 to 44 years,JVRE011,ABK4E011,AJ6RE011,AQYKE011,asian_male_35_to_44
Asian Alone,Male: 45 to 54 years,JVRE012,ABK4E012,AJ6RE012,AQYKE012,asian_male_45_to_54
Asian Alone,Male: 55 to 64 years,JVRE013,ABK4E013,AJ6RE013,AQYKE013,asian_male_55_to_64
Asian Alone,Male: 65 to 74 years,JVRE014,ABK4E014,AJ6RE014,AQYKE014,asian_male_65_to_74
Asian Alone,Male: 75 to 84 years,JVRE015,ABK4E015,AJ6RE015,AQYKE015,asian_male_75_to_84
Asian Alone,Male: 85 years and over,JVRE016,ABK4E016,AJ6RE016,AQYKE016,asian_male_85_plus
Asian Alone,Female,JVRE017,ABK4E017,AJ6RE017,AQYKE017,asian_female
Asian Alone,Female: Under 5 years,JVRE018,ABK4E018,AJ6RE018,AQYKE018,asian_female_under_5
Asian Alone,Female: 5 to 9 years,JVRE019,ABK4E019,AJ6RE019,AQYKE019,asian_female_5_to_9
Asian Alone,Female: 10 to 14 years,JVRE020,ABK4E020,AJ6RE020,AQYKE020,asian_female_10_to_14
Asian Alone,Female: 15 to 17 years,JVRE021,ABK4E021,AJ6RE021,AQYKE021,asian_female_15_to_17
Asian Alone,Female: 18 and 19 years,JVRE022,ABK4E022,AJ6RE022,AQYKE022,asian_female_18_and_19
Asian Alone,Female: 20 to 24 years,JVRE023,ABK4E023,AJ6RE023,AQYKE023,asian_female_20_to_24
Asian Alone,Female: 25 to 29 years,JVRE024,ABK4E024,AJ6RE024,AQYKE024,asian_female_25_to_29
Asian Alone,Female: 30 to 34 years,JVRE025,ABK4E025,AJ6RE025,AQYKE025,asian_female_30_to_34
Asian Alone,Female: 35 to 44 years,JVRE026,ABK4E026,AJ6RE026,AQYKE026,asian_female_35_to_44
Asian Alone,Female: 45 to 54 years,JVRE027,ABK4E027,AJ6RE027,AQYKE027,asian_female_45_to_54
Asian Alone,Female: 55 to 64 years,JVRE028,ABK4E028,AJ6RE028,AQYKE028,asian_female_55_to_64
Asian Alone,Female: 65 to 74 years,JVRE029,ABK4E029,AJ6RE029,AQYKE029,asian_female_65_to_74
Asian Alone,Female: 75 to 84 years,JVRE030,ABK4E030,AJ6RE030,AQYKE030,asian_female_75_to_84
Asian Alone,Female: 85 years and over,JVRE031,ABK4E031,AJ6RE031,AQYKE031,asian_female_85_plus
Native Hawaiian and Other Pacific Islander Alone,Total,JVSE001,ABK5E001,AJ6SE001,AQYLE001,nhpi_total
Native Hawaiian and Other Pacific Islander Alone,Male,JVSE002,ABK5E002,AJ6SE002,AQYLE002,nhpi_male
Native Hawaiian and Other Pacific Islander Alone,Male: Under 5 years,JVSE003,ABK5E003,AJ6SE003,AQYLE003,nhpi_male_under_5
Native Hawaiian and Other Pacific Islander Alone,Male: 5 to 9 years,JVSE004,ABK5E004,AJ6SE004,AQYLE004,nhpi_male_5_to_9
Native Hawaiian and Other Pacific Islander Alone,Male: 10 to 14 years,JVSE005,ABK5E005,AJ6SE005,AQYLE005,nhpi_male_10_to_14
Native Hawaiian and Other Pacific Islander Alone,Male: 15 to 17 years,JVSE006,ABK5E006,AJ6SE006,AQYLE006,nhpi_male_15_to_17
Native Hawaiian and Other Pacific Islander Alone,Male: 18 and 19 years,JVSE007,ABK5E007,AJ6SE007,AQYLE007,nhpi_male_18_and_19
Native Hawaiian and Other Pacific Islander Alone,Male: 20 to 24 years,JVSE008,ABK5E008,AJ6SE008,AQYLE008,nhpi_male_20_to_24
Native Hawaiian and Other Pacific Islander Alone,Male: 25 to 29 years,JVSE009,ABK5E009,AJ6SE009,AQYLE009,nhpi_male_25_to_29
Native Hawaiian and Other Pacific Islander Alone,Male: 30 to 34 years,JVSE010,ABK5E010,AJ6SE010,AQYLE010,nhpi_male_30_to_34
Native Hawaiian and Other Pacific Islander Alone,Male: 35 to 44 years,JVSE011,ABK5E011,AJ6SE011,AQYLE011,nhpi_male_35_to_44
Native Hawaiian and Other Pacific Islander Alone,Male: 45 to 54 years,JVSE012,ABK5E012,AJ6SE012,AQYLE012,nhpi_male_45_to_54
Native Hawaiian and Other Pacific Islander Alone,Male: 55 to 64 years,JVSE013,ABK5E013,AJ6SE013,AQYLE013,nhpi_male_55_to_64
Native Hawaiian and Other Pacific Islander Alone,Male: 65 to 74 years,JVSE014,ABK5E014,AJ6SE014,AQYLE014,nhpi_male_65_to_74
Native Hawaiian and Other Pacific Islander Alone,Male: 75 to 84 years,JVSE015,ABK5E015,AJ6SE015,AQYLE015,nhpi_male_75_to_84
Native Hawaiian and Other Pacific Islander Alone,Male: 85 years and over,JVSE016,ABK5E016,AJ6SE016,AQYLE016,nhpi_male_85_plus
Native Hawaiian and Other Pacific Islander Alone,Female,JVSE017,ABK5E017,AJ6SE017,AQYLE017,nhpi_female
Native Hawaiian and Other Pacific Islander Alone,Female: Under 5 years,JVSE018,ABK5E018,AJ6SE018,AQYLE018,nhpi_female_under_5
Native Hawaiian and Other Pacific Islander Alone,Female: 5 to 9 years,JVSE019,ABK5E019,AJ6SE019,AQYLE019,nhpi_female_5_to_9
Native Hawaiian and Other Pacific Islander Alone,Female: 10 to 14 years,JVSE020,ABK5E020,AJ6SE020,AQYLE020,nhpi_female_10_to_14
Native Hawaiian and Other Pacific Islander Alone,Female: 15 to 17 years,JVSE021,ABK5E021,AJ6SE021,AQYLE021,nhpi_female_15_to_17
Native Hawaiian and Other Pacific Islander Alone,Female: 18 and 19 years,JVSE022,ABK5E022,AJ6SE022,AQYLE022,nhpi_female_18_and_19
Native Hawaiian and Other Pacific Islander Alone,Female: 20 to 24 years,JVSE023,ABK5E023,AJ6SE023,AQYLE023,nhpi_female_20_to_24
Native Hawaiian and Other Pacific Islander Alone,Female: 25 to 29 years,JVSE024,ABK5E024,AJ6SE024,AQYLE024,nhpi_female_25_to_29
Native Hawaiian and Other Pacific Islander Alone,Female: 30 to 34 years,JVSE025,ABK5E025,AJ6SE025,AQYLE025,nhpi_female_30_to_34
Native Hawaiian and Other Pacific Islander Alone,Female: 35 to 44 years,JVSE026,ABK5E026,AJ6SE026,AQYLE026,nhpi_female_35_to_44
Native Hawaiian and Other Pacific Islander Alone,Female: 45 to 54 years,JVSE027,ABK5E027,AJ6SE027,AQYLE027,nhpi_female_45_to_54
Native Hawaiian and Other Pacific Islander Alone,Female: 55 to 64 years,JVSE028,ABK5E028,AJ6SE028,AQYLE028,nhpi_female_55_to_64
Native Hawaiian and Other Pacific Islander Alone,Female: 65 to 74 years,JVSE029,ABK5E029,AJ6SE029,AQYLE029,nhpi_female_65_to_74
Native Hawaiian and Other Pacific Islander Alone,Female: 75 to 84 years,JVSE030,ABK5E030,AJ6SE030,AQYLE030,nhpi_female_75_to_84
Native Hawaiian and Other Pacific Islander Alone,Female: 85 years and over,JVSE031,ABK5E031,AJ6SE031,AQYLE031,nhpi_female_85_plus
Some Other Race Alone,Total,JVTE001,ABK6E001,AJ6TE001,AQYME001,other_total
Some Other Race Alone,Male,JVTE002,ABK6E002,AJ6TE002,AQYME002,other_male
Some Other Race Alone,Male: Under 5 years,JVTE003,ABK6E003,AJ6TE003,AQYME003,other_male_under_5
Some Other Race Alone,Male: 5 to 9 years,JVTE004,ABK6E004,AJ6TE004,AQYME004,other_male_5_to_9
Some Other Race Alone,Male: 10 to 14 years,JVTE005,ABK6E005,AJ6TE005,AQYME005,other_male_10_to_14
Some Other Race Alone,Male: 15 to 17 years,JVTE006,ABK6E006,AJ6TE006,AQYME006,other_male_15_to_17
Some Other Race Alone,Male: 18 and 19 years,JVTE007,ABK6E007,AJ6TE007,AQYME007,other_male_18_and_19
Some Other Race Alone,Male: 20 to 24 years,JVTE008,ABK6E008,AJ6TE008,AQYME008,other_male_20_to_24
Some Other Race Alone,Male: 25 to 29 years,JVTE009,ABK6E009,AJ6TE009,AQYME009,other_male_25_to_29
Some Other Race Alone,Male: 30 to 34 years,JVTE010,ABK6E010,AJ6TE010,AQYME010,other_male_30_to_34
Some Other Race Alone,Male: 35 to 44 years,JVTE011,ABK6E011,AJ6TE011,AQYME011,other_male_35_to_44
Some Other Race Alone,Male: 45 to 54 years,JVTE012,ABK6E012,AJ6TE012,AQYME012,other_male_45_to_54
Some Other Race Alone,Male: 55 to 64 years,JVTE013,ABK6E013,AJ6TE013,AQYME013,other_male_55_to_64
Some Other Race Alone,Male: 65 to 74 years,JVTE014,ABK6E014,AJ6TE014,AQYME014,other_male_65_to_74
Some Other Race Alone,Male: 75 to 84 years,JVTE015,ABK6E015,AJ6TE015,AQYME015,other_male_75_to_84
Some Other Race Alone,Male: 85 years and over,JVTE016,ABK6E016,AJ6TE016,AQYME016,other_male_85_plus
Some Other Race Alone,Female,JVTE017,ABK6E017,AJ6TE017,AQYME017,other_female
Some Other Race Alone,Female: Under 5 years,JVTE018,ABK6E018,AJ6TE018,AQYME018,other_female_under_5
Some Other Race Alone,Female: 5 to 9 years,JVTE019,ABK6E019,AJ6TE019,AQYME019,other_female_5_to_9
Some Other Race Alone,Female: 10 to 14 years,JVTE020,ABK6E020,AJ6TE020,AQYME020,other_female_10_to_14
Some Other Race Alone,Female: 15 to 17 years,JVTE021,ABK6E021,AJ6TE021,AQYME021,other_female_15_to_17
Some Other Race Alone,Female: 18 and 19 years,JVTE022,ABK6E022,AJ6TE022,AQYME022,other_female_18_and_19
Some Other Race Alone,Female: 20 to 24 years,JVTE023,ABK6E023,AJ6TE023,AQYME023,other_female_20_to_24
Some Other Race Alone,Female: 25 to 29 years,JVTE024,ABK6E024,AJ6TE024,AQYME024,other_female_25_to_29
Some Other Race Alone,Female: 30 to 34 years,JVTE025,ABK6E025,AJ6TE025,AQYME025,other_female_30_to_34
Some Other Race Alone,Female: 35 to 44 years,JVTE026,ABK6E026,AJ6TE026,AQYME026,other_female_35_to_44
Some Other Race Alone,Female: 45 to 54 years,JVTE027,ABK6E027,AJ6TE027,AQYME027,other_female_45_to_54
Some Other Race Alone,Female: 55 to 64 years,JVTE028,ABK6E028,AJ6TE028,AQYME028,other_female_55_to_64
Some Other Race Alone,Female: 65 to 74 years,JVTE029,ABK6E029,AJ6TE029,AQYME029,other_female_65_to_74
Some Other Race Alone,Female: 75 to 84 years,JVTE030,ABK6E030,AJ6TE030,AQYME030,other_female_75_to_84
Some Other Race Alone,Female: 85 years and over,JVTE031,ABK6E031,AJ6TE031,AQYME031,other_female_85_plus
Two or More Races,Total,JVUE001,ABK7E001,AJ6UE001,AQYNE001,multi_total
Two or More Races,Male,JVUE002,ABK7E002,AJ6UE002,AQYNE002,multi_male
Two or More Races,Male: Under 5 years,JVUE003,ABK7E003,AJ6UE003,AQYNE003,multi_male_under_5
Two or More Races,Male: 5 to 9 years,JVUE004,ABK7E004,AJ6UE004,AQYNE004,multi_male_5_to_9
Two or More Races,Male: 10 to 14 years,JVUE005,ABK7E005,AJ6UE005,AQYNE005,multi_male_10_to_14
Two or More Races,Male: 15 to 17 years,JVUE006,ABK7E006,AJ6UE006,AQYNE006,multi_male_15_to_17
Two or More Races,Male: 18 and 19 years,JVUE007,ABK7E007,AJ6UE007,AQYNE007,multi_male_18_and_19
Two or More Races,Male: 20 to 24 years,JVUE008,ABK7E008,AJ6UE008,AQYNE008,multi_male_20_to_24
Two or More Races,Male: 25 to 29 years,JVUE009,ABK7E009,AJ6UE009,AQYNE009,multi_male_25_to_29
Two or More Races,Male: 30 to 34 years,JVUE010,ABK7E010,AJ6UE010,AQYNE010,multi_male_30_to_34
Two or More Races,Male: 35 to 44 years,JVUE011,ABK7E011,AJ6UE011,AQYNE011,multi_male_35_to_44
Two or More Races,Male: 45 to 54 years,JVUE012,ABK7E012,AJ6UE012,AQYNE012,multi_male_45_to_54
Two or More Races,Male: 55 to 64 years,JVUE013,ABK7E013,AJ6UE013,AQYNE013,multi_male_55_to_64
Two or More Races,Male: 65 to 74 years,JVUE014,ABK7E014,AJ6UE014,AQYNE014,multi_male_65_to_74
Two or More Races,Male: 75 to 84 years,JVUE015,ABK7E015,AJ6UE015,AQYNE015,multi_male_75_to_84
Two or More Races,Male: 85 years and over,JVUE016,ABK7E016,AJ6UE016,AQYNE016,multi_male_85_plus
Two or More Races,Female,JVUE017,ABK7E017,AJ6UE017,AQYNE017,multi_female
Two or More Races,Female: Under 5 years,JVUE018,ABK7E018,AJ6UE018,AQYNE018,multi_female_under_5
Two or More Races,Female: 5 to 9 years,JVUE019,ABK7E019,AJ6UE019,AQYNE019,multi_female_5_to_9
Two or More Races,Female: 10 to 14 years,JVUE020,ABK7E020,AJ6UE020,AQYNE020,multi_female_10_to_14
Two or More Races,Female: 15 to 17 years,JVUE021,ABK7E021,AJ6UE021,AQYNE021,multi_female_15_to_17
Two or More Races,Female: 18 and 19 years,JVUE022,ABK7E022,AJ6UE022,AQYNE022,multi_female_18_and_19
Two or More Races,Female: 20 to 24 years,JVUE023,ABK7E023,AJ6UE023,AQYNE023,multi_female_20_to_24
Two or More Races,Female: 25 to 29 years,JVUE024,ABK7E024,AJ6UE024,AQYNE024,multi_female_25_to_29
Two or More Races,Female: 30 to 34 years,JVUE025,ABK7E025,AJ6UE025,AQYNE025,multi_female_30_to_34
Two or More Races,Female: 35 to 44 years,JVUE026,ABK7E026,AJ6UE026,AQYNE026,multi_female_35_to_44
Two or More Races,Female: 45 to 54 years,JVUE027,ABK7E027,AJ6UE027,AQYNE027,multi_female_45_to_54
Two or More Races,Female: 55 to 64 years,JVUE028,ABK7E028,AJ6UE028,AQYNE028,multi_female_55_to_64
Two or More Races,Female: 65 to 74 years,JVUE029,ABK7E029,AJ6UE029,AQYNE029,multi_female_65_to_74
Two or More Races,Female: 75 to 84 years,JVUE030,ABK7E030,AJ6UE030,AQYNE030,multi_female_75_to_84
Two or More Races,Female: 85 years and over,JVUE031,ABK7E031,AJ6UE031,AQYNE031,multi_female_85_plus
