table,description,code_2008,code_2012,code_2016,code_2020
American Indian and Alaska Native Alone,Male: 18 and 19 years,JVQE007,ABK3E007,AJ6QE007,AQYJE007
American Indian and Alaska Native Alone,Male: 20 to 24 years,JVQE008,ABK3E008,AJ6QE008,AQYJE008
American Indian and Alaska Native Alone,Male: 25 to 29 years,JVQE009,ABK3E009,AJ6QE009,AQYJE009
American Indian and Alaska Native Alone,Male: 30 to 34 years,JVQE010,ABK3E010,AJ6QE010,AQYJE010
American Indian and Alaska Native Alone,Male: 35 to 44 years,JVQE011,ABK3E011,AJ6QE011,AQYJE011
American Indian and Alaska Native Alone,Male: 45 to 54 years,JVQE012,ABK3E012,AJ6QE012,AQYJE012
American Indian and Alaska Native Alone,Male: 55 to 64 years,JVQE013,ABK3E013,AJ6QE013,AQYJE013
American Indian and Alaska Native Alone,Male: 65 to 74 years,JVQE014,ABK3E014,AJ6QE014,AQYJE014
American Indian and Alaska Native Alone,Male: 75 to 84 years,JVQE015,ABK3E015,AJ6QE015,AQYJE015
American Indian and Alaska Native Alone,Male: 85 years and over,JVQE016,ABK3E016,AJ6QE016,AQYJE016
American Indian and Alaska Native Alone,Female,JVQE017,ABK3E017,AJ6QE017,AQYJE017
American Indian and Alaska Native Alone,Female: Under 5 years,JVQE018,ABK3E018,AJ6QE018,AQYJE018
American Indian and Alaska Native Alone,Female: 5 to 9 years,JVQE019,ABK3E019,AJ6QE019,AQYJE019
American Indian and Alaska Native Alone,Female: 10 to 14 years,JVQE020,ABK3E020,AJ6QE020,AQYJE020
American Indian and Alaska Native Alone,Female: 15 to 17 years,JVQE021,ABK3E021,AJ6QE021,AQYJE021
American Indian and Alaska Native Alone,Female: 18 and 19 years,JVQE022,ABK3E022,AJ6QE022,AQYJE022
American Indian and Alaska Native Alone,Female: 20 to 24 years,JVQE023,ABK3E023,AJ6QE023,AQYJE023
American Indian and Alaska Native Alone,Female: 25 to 29 years,JVQE024,ABK3E024,AJ6QE024,AQYJE024
American Indian and Alaska Native Alone,Female: 30 to 34 years,JVQE025,ABK3E025,AJ6QE025,AQYJE025
American Indian and Alaska Native Alone,Female: 35 to 44 years,JVQE026,ABK3E026,AJ6QE026,AQYJE026
