year,gisjoin,state,county,median_household_income,per_capita_income,per_capita_area,per_capita_households_income_under_10k,per_capita_households_income_10k_15k,per_capita_households_income_15k_25k,per_capita_households_income_25k_plus,P(C),P(persons_male|C),P(persons_female|C),P(male_never_married|C),P(male_married|C),P(male_separated|C),P(male_widowed|C),P(male_divorced|C),P(female_never_married|C),P(female_married|C),P(female_separated|C),P(female_widowed|C),P(female_divorced|C),P(male_18_24_less_than_9th|C),P(male_18_24_some_hs|C),P(male_18_24_hs_grad|C),P(male_18_24_some_college|C),P(male_18_24_associates|C),P(male_18_24_bachelors|C),P(male_18_24_graduate|C),P(male_25_34_less_than_9th|C),P(male_25_34_some_hs|C),P(male_25_34_hs_grad|C),P(male_25_34_some_college|C),P(male_25_34_associates|C),P(male_25_34_bachelors|C),P(male_25_34_graduate|C),P(male_35_44_less_than_9th|C),P(male_35_44_some_hs|C),P(male_35_44_hs_grad|C),P(male_35_44_some_college|C),P(male_35_44_associates|C),P(male_35_44_bachelors|C),P(male_35_44_graduate|C),P(male_45_64_less_than_9th|C),P(male_45_64_some_hs|C),P(male_45_64_hs_grad|C),P(male_45_64_some_college|C),P(male_45_64_associates|C),P(male_45_64_bachelors|C),P(male_45_64_graduate|C),P(male_65plus_less_than_9th|C),P(male_65plus_some_hs|C),P(male_65plus_hs_grad|C),P(male_65plus_some_college|C),P(male_65plus_associates|C),P(male_65plus_bachelors|C),P(male_65plus_graduate|C),P(female_18_24_less_than_9th|C),P(female_18_24_some_hs|C),P(female_18_24_hs_grad|C),P(female_18_24_some_college|C),P(female_18_24_associates|C),P(female_18_24_bachelors|C),P(female_18_24_graduate|C),P(female_25_34_less_than_9th|C),P(female_25_34_some_hs|C),P(female_25_34_hs_grad|C),P(female_25_34_some_college|C),P(female_25_34_associates|C),P(female_25_34_bachelors|C),P(female_25_34_graduate|C),P(female_35_44_less_than_9th|C),P(female_35_44_some_hs|C),P(female_35_44_hs_grad|C),P(female_35_44_some_college|C),P(female_35_44_associates|C),P(female_35_44_bachelors|C),P(female_35_44_graduate|C),P(female_45_64_less_than_9th|C),P(female_45_64_some_hs|C),P(female_45_64_hs_grad|C),P(female_45_64_some_college|C),P(female_45_64_associates|C),P(female_45_64_bachelors|C),P(female_45_64_graduate|C),P(female_65plus_less_than_9th|C),P(female_65plus_some_hs|C),P(female_65plus_hs_grad|C),P(female_65plus_some_college|C),P(female_65plus_associates|C),P(female_65plus_bachelors|C),P(female_65plus_graduate|C),P(male_white|C),P(female_white|C),P(male_black|C),P(female_black|C),P(male_aian|C),P(female_aian|C),P(male_asian|C),P(female_asian|C),P(male_nhpi|C),P(female_nhpi|C),P(male_other|C),P(female_other|C),P(male_multi|C),P(female_multi|C),P(persons_native|C),P(persons_foreign_born|C),P(labor_force_total|C),P(labor_force_armed|C),P(labor_force_civilian|C),P(labor_force_employed|C),P(labor_force_unemployed|C),P(not_in_labor_force|C),P(persons_hispanic|C),P(persons_below_poverty|C),P(18plus|C),P(democrat|C),P(other|C),P(republican|C),P(non_voter|C)
2016,G2601290,Michigan,Ogemaw County,40150,22527,0.071153859699236,0.0347381498470948,0.023795871559633,0.0710531345565749,0.3146024464831804,6.565978190115784e-05,0.5007645259938838,0.4992354740061162,0.1003440366972477,0.2439793577981651,0.0061162079510703,0.0221234709480122,0.056861620795107,0.0700496941896024,0.2392488532110091,0.0030581039755351,0.052322247706422,0.0657970183486238,0.0002866972477064,0.0095087920489296,0.0139525993883792,0.0083142201834862,0.0006689602446483,0.0012423547400611,0.0,0.0012423547400611,0.0060684250764525,0.0173451834862385,0.0148604740061162,0.0042526758409785,0.0026758409785932,0.0002866972477064,0.0009556574923547,0.0053516819571865,0.0201165902140672,0.0110378440366972,0.0056861620795107,0.0059250764525993,0.0009556574923547,0.0033925840978593,0.0195909785932721,0.067756116207951,0.0345470183486238,0.0102733180428134,0.0088398318042813,0.0082664373088685,0.0114678899082568,0.0123757645259938,0.0499331039755351,0.0242259174311926,0.0068807339449541,0.0080275229357798,0.0078841743119266,9.5565749235474e-05,0.0046349388379204,0.0116590214067278,0.011802370030581,0.0019113149847094,0.001815749235474,0.0,0.0005733944954128,0.0054950305810397,0.0105600152905198,0.0178707951070336,0.0059250764525993,0.0049694189602446,0.0017201834862385,0.0001433486238532,0.0032970183486238,0.0086964831804281,0.0183964067278287,0.0086487003058103,0.007071865443425,0.001624617737003,0.0010512232415902,0.0156727828746177,0.0603497706422018,0.0409977064220183,0.0173451834862385,0.0120412844036697,0.0080275229357798,0.0047305045871559,0.0170584862385321,0.0571005351681957,0.0277618501529052,0.0093654434250764,0.0076452599388379,0.0043960244648318,0.4799311926605504,0.4856651376146789,0.0036792813455657,0.0,0.0053994648318042,0.0053994648318042,0.0032492354740061,0.0030103211009174,0.0,0.0,0.0013379204892966,0.000716743119266,0.0071674311926605,0.0044438073394495,0.9871941896024464,0.0128058103975535,0.4016150611620795,0.0004778287461773,0.4011372324159021,0.3688837920489297,0.0322534403669724,0.4374522171253822,0.0211678134556574,0.1650898318042813,0.8146502293577981,0.1447821100917431,0.0253249235474006,0.3262136850152905,0.3183295107033638
2016,G0600630,California,Plumas County,53270,32710,0.3619866871429101,0.0214984758543237,0.0326220653510882,0.0460452430611262,0.3301780843895395,5.866648804327936e-05,0.5039306914808278,0.4960693085191721,0.1126798224503984,0.2359484464409861,0.0070592010267928,0.0266324402374458,0.0562596930317129,0.0792555751644473,0.2301192577143162,0.0115514198620247,0.0469543825873041,0.0742285683726402,0.0,0.0091983528530937,0.0007487031392053,0.019787154393283,0.0005882667522327,0.0011765335044654,0.0,0.001230012300123,0.005027006791807,0.0152414567623937,0.0167923418364618,0.0023530670089309,0.0059896251136424,0.0008556607305203,0.0013904486870955,0.0009091395261778,0.0157227659233114,0.0097331408096689,0.0059361463179849,0.0057757099310123,0.0094657468313813,0.0045456976308893,0.0080218193486282,0.0489330980266324,0.0537461896358094,0.0179688753409273,0.0129418685491202,0.0097866196053264,0.0020321942349858,0.0063104978875875,0.027167228194021,0.0420878121824696,0.0108561955184769,0.0243863308198299,0.0205358575324883,0.0,0.0011230547088079,0.0170597358147494,0.0102144499705866,0.0036365581047114,0.0009626183218353,0.0,0.0,0.0018717578480132,0.0071126798224503,0.0169527782234344,0.0086635648965185,0.0050804855874645,0.0044922188352318,0.0008021819348628,0.0,0.006363976683245,0.0141184020535857,0.0109096743141344,0.007593988983368,0.0098935771966415,0.0003208727739451,0.0090913952617787,0.0351890475426493,0.0508583346703032,0.0301620407508422,0.0200545483715706,0.0130488261404353,0.0011230547088079,0.0040643884699716,0.0388256056473608,0.047970479704797,0.0100005347879565,0.0209636878977485,0.0104283651532167,0.4494357987058131,0.4412000641745547,0.002566982191561,0.0078079041659981,0.0149205839884485,0.0079683405529707,0.005027006791807,0.0056687523396973,0.0010695759131504,0.0011230547088079,0.0127814321621477,0.0120327290229424,0.0181293117278998,0.0202684635542007,0.9596235092785712,0.0403764907214289,0.4306112626343655,0.0,0.4306112626343655,0.4030162040750842,0.0275950585592812,0.4242472859511204,0.087116958126103,0.1147654954810417,0.8361944489010107,0.1849831541793679,0.0426226001390448,0.2898550724637681,0.3187336221188298
2016,G0501490,Arkansas,Yell County,42361,21584,0.11382820574749,0.0261901450887683,0.0184953413989709,0.0489964307235896,0.2535576878505539,6.768341336743492e-05,0.4997914059240717,0.5002085940759282,0.11783247577991,0.2189774254855606,0.0111250173828396,0.0128864784684559,0.0450563204005006,0.0854772168914847,0.2094748064710517,0.0117739767301719,0.0504797663746349,0.0559032123487692,0.0,0.0019468780419969,0.0261437908496732,0.0120057479256478,0.0004171881518564,0.0001854169563806,0.0,0.0044036527140406,0.0056088629305149,0.0198859685718258,0.0141843971631205,0.0010661474991888,0.0096416817317943,0.0005562508691419,0.004496361192231,0.0097807444490798,0.0275344180225281,0.0130718954248366,0.0015296898901404,0.0062578222778473,0.0019468780419969,0.0107541834700783,0.0139062717285495,0.0597042599545728,0.0296667130209057,0.0054234459741343,0.0108005377091735,0.0038937560839938,0.009548973253604,0.0097343902099847,0.0313354656283317,0.0139062717285495,0.0024104204329485,0.0073703240161312,0.0024567746720437,0.0010197932600936,0.00421823575766,0.0138599174894544,0.0136281462939785,0.0029203170629954,0.0025958373893292,0.0,0.0019932322810921,0.002827608584805,0.0159458582487368,0.0170120057479256,0.0050062578222778,0.0071849070597506,0.0035692764103277,0.0068604273860844,0.0069994901033699,0.0206739906364437,0.0155750243359755,0.0048671951049923,0.004774486626802,0.0013906271728549,0.009270847819033,0.0082974087980345,0.0539563343067723,0.0311036944328558,0.0070921985815602,0.0168265887915449,0.0069531358642747,0.0139989802067399,0.0155750243359755,0.0455198627914522,0.0101979326009363,0.0003708339127613,0.0039864645621842,0.003383859453947,0.3916469661150512,0.3943355119825708,0.0104297037964121,0.0146942937931673,0.0023177119547582,0.0030593797802809,0.0047281323877068,0.0064432392342279,0.0,0.0,0.0823714828721086,0.0767626199415936,0.0082974087980345,0.0049135493440875,0.90460297594215,0.0953970240578501,0.4417095443378297,0.0008343763037129,0.4408751680341167,0.4164001297918694,0.0244750382422472,0.3369953182218514,0.1999721874565429,0.1610809808556992,0.7510313818198676,0.0686042738608445,0.016270337922403,0.2136003337505214,0.4525564362860985
2020,G0500590,Arkansas,Hot Spring County,50260,25486,0.0486408592837869,0.0207673035708895,0.0282230070331129,0.0341694587823357,0.276042138307827,0.0001013437869846,0.5318904886957047,0.4681095113042953,0.1409942950285248,0.2259651664704639,0.0123456790123456,0.013160674937366,0.0646865284192097,0.0807147816112771,0.2027226900902532,0.0052220109269824,0.0542726915995049,0.0542425065652449,0.0008753659935404,0.0080594041474237,0.0199523076458691,0.0160886232605874,0.0016299918500407,0.0019016571583808,0.0,0.0011772163361405,0.0040146095565818,0.0446436656705605,0.0163602885689275,0.002324247638021,0.0028977632889613,0.0025053578435811,0.002294062603761,0.0069425578798031,0.0293096682664734,0.0118325334299254,0.0056747864408826,0.0072745932566633,0.0048597905158622,0.0028977632889613,0.0135832654170062,0.0639017175284493,0.0360711159407165,0.0120438286697455,0.0137341905883063,0.0060370068520027,0.0016601768843007,0.0086027347641039,0.0358900057351565,0.0210389688792296,0.0034712789399015,0.0119230885327054,0.0048597905158622,0.0,0.0037429442482417,0.0076368136677835,0.0133116001086661,0.002294062603761,0.0033505388028615,0.0,0.0019318421926408,0.0043164598991819,0.0154849225753871,0.02191433487277,0.0075160735307434,0.0036222041112016,0.0020827673639409,3.018503426001389e-05,0.0050107156871623,0.0186241661384285,0.0236046967913308,0.0043164598991819,0.0063086721603429,0.0033203537686015,0.0041957197621419,0.0101119864771046,0.0350146397416161,0.0317546560415346,0.0193486069606689,0.0164206586374475,0.0075764435992634,0.0047390503788221,0.0115910531558453,0.0424401581695795,0.0207673035708895,0.0062483020918228,0.0108666123336049,0.0081197742159437,0.4358718947146005,0.4027287270971053,0.0679163270850312,0.0468773582058015,0.0014488816444806,0.0025355428778411,0.0009659210963204,0.0015394367472607,0.00021129523982,0.0,0.0026562830148812,0.0007244408222403,0.0228198859005704,0.0137040055540463,0.9887711672552748,0.0112288327447251,0.4071357420990673,0.0014790666787406,0.4056566754203266,0.386941954179118,0.0187147212412086,0.4200247517280932,0.0377011077907573,0.1839174137462646,0.8039482024812097,0.0930302755893627,0.0082405143529837,0.2777626852606478,0.4249147272782153
2008,G1302550,Georgia,Spalding County,41100,19607,0.008165948039747,0.0388443068368507,0.0261910779729558,0.0488910653355238,0.251058384936181,0.0002111129688026,0.4853879691646657,0.5146120308353342,0.1226620750663465,0.1918204220902312,0.0068874004802224,0.0142013142929356,0.0455895362062428,0.1102457980538354,0.1983760899785163,0.0140907367622899,0.0468216858334386,0.0562365727284215,0.0023063313534689,0.013790597750537,0.0163022873752053,0.0110577530645772,0.0013585239479337,0.0003949197523063,0.0,0.0032383419689119,0.0130639454062934,0.0230949071148742,0.0166498167572349,0.0026380639454062,0.006113357765702,0.0012005560470112,0.0032225451788196,0.0090989510931378,0.0245324150132693,0.0152281056489321,0.0055762669025653,0.0067926197396689,0.0023063313534689,0.0071875394919752,0.0233160621761658,0.0496493112599519,0.0192720839125489,0.0059079994945027,0.0100941488689498,0.006492480727916,0.0094938708454442,0.0091621382535068,0.0147699987362567,0.0097782130671047,0.0010583849361809,0.0038228232023252,0.0034279034500189,0.0016112725894098,0.0101415392392265,0.0136484266397068,0.0139801592316441,0.0018166308606091,0.001627069379502,0.0,0.0001737646910147,0.0101415392392265,0.0238847466194869,0.019524832554025,0.0039491975230633,0.0062713256666245,0.0032225451788196,0.0058290155440414,0.0073455073928977,0.0255907999494502,0.0154808542904081,0.0052129407304435,0.0069821812207759,0.003933400732971,0.0054182990016428,0.0276285858713509,0.0519082522431441,0.0190351320611651,0.0099519777581195,0.0116422342979906,0.0087672185012005,0.015970554783268,0.0145330468848729,0.0266175913054467,0.0081985340578794,0.001500695058764,0.006366106407178,0.0015164918488563,0.3121287754328321,0.3224124857828889,0.1530550992038417,0.176150006318716,0.0014533046884872,0.0011847592569189,0.0035384809806647,0.004122962214078,0.0,0.0,0.0090989510931378,0.0044862883861999,0.006113357765702,0.0062555288765322,0.9704600025274864,0.0295399974725135,0.4761152533805131,0.0012163528371035,0.4560217363831669,0.4184569695437887,0.0564419309996208,0.2969164665739922,0.0358903070895993,0.208896752179957,0.7408220649564009,0.1601952483255402,0.0036174649311259,0.2351352205231897,0.3418741311765449
