year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,6328,2144,212,3972,G0500870
2008,7162,2384,254,4524,G0500890
2008,15063,4869,281,9913,G0500910
2008,14010,6667,367,6976,G0500930
2008,3449,1615,80,1754,G0500950
2008,3622,1092,165,2365,G0500970
2008,3635,1474,99,2062,G0500990
2008,3960,1182,190,2588,G0501010
2008,9960,4346,187,5427,G0501030
2008,4279,1352,184,2743,G0501050
2008,8969,5695,177,3097,G0501070
2008,3966,1089,150,2727,G0501090
2008,7928,2742,283,4903,G0501110
2008,7681,1957,251,5473,G0501130
2008,22079,6002,509,15568,G0501150
2008,3381,1048,110,2223,G0501170
2008,161343,88854,2277,70212,G0501190
2008,6319,2469,235,3615,G0501210
2008,9505,5486,102,3917,G0501230
2008,44653,12695,977,30981,G0501250
2008,3995,1053,151,2791,G0501270
2008,3847,961,160,2726,G0501290
2008,43212,13673,902,28637,G0501310
2008,4580,1291,164,3125,G0501330
2008,7252,2436,281,4535,G0501350
2008,5324,1598,192,3534,G0501370
2008,17179,6190,312,10677,G0501390
2008,6703,2151,276,4276,G0501410
2008,68380,29021,1396,37963,G0501430
2008,26955,6732,756,19467,G0501450
2008,2761,1412,143,1206,G0501470
2008,6036,2003,225,3808,G0501490
2008,621029,489106,12368,119555,G0600010
2008,692,422,18,252,G0600030
2008,18810,7813,436,10561,G0600050
2008,98325,49013,2606,46706,G0600070
2008,23306,9813,658,12835,G0600090
2008,6429,2569,127,3733,G0600110
2008,451650,306983,8231,136436,G0600130
2008,9531,4323,241,4967,G0600150
2008,92926,40529,2083,50314,G0600170
2008,272289,136706,4568,131015,G0600190
2008,9879,3734,235,5910,G0600210
2008,63727,39692,2322,21713,G0600230
2008,38820,24162,650,14008,G0600250
2008,8533,3743,267,4523,G0600270
2008,232850,93457,4600,134793,G0600290
2008,35108,14747,651,19710,G0600310
2008,25542,14854,753,9935,G0600330
2008,11387,3586,318,7483,G0600350
2008,3318248,2295853,65970,956425,G0600370
2008,42355,17952,820,23583,G0600390
2008,140197,109320,2493,28384,G0600410
2008,9651,4100,253,5298,G0600430
2008,40016,27843,1452,10721,G0600450
2008,63808,34031,1073,28704,G0600470
2008,4420,1313,126,2981,G0600490
2008,5571,3093,124,2354,G0600510
2008,129783,88453,2533,38797,G0600530
2008,59642,38849,1309,19484,G0600550
2008,55647,28617,1367,25663,G0600570
2008,1153687,549558,25065,579064,G0600590
2008,173107,75112,3348,94647,G0600610
2008,11028,4715,278,6035,G0600630
2008,647299,325017,12241,310041,G0600650
2008,541101,316506,11012,213583,G0600670
2008,19705,11917,363,7425,G0600690
2008,606334,315720,13206,277408,G0600710
2008,1231047,666581,23434,541032,G0600730
2008,382865,322220,8353,52292,G0600750
2008,209349,113974,3768,91607,G0600770
2008,132653,68176,3422,61055,G0600790
